,Planet_Mass,Epsilon,Alpha,Stokes,Aspect_Ratio,SigmaSlope,Dust_gap_1,Gas_gap_1,Dust_depth_1,Gas_depth_1,Dust_gap_2,Dust_depth_2,#_DG,#_GG
35,71.66666666666666,0.0407,0.0012,0.0589,0.0567,0.557,0.8859999999999999,0.32,9.3e-30,2.7300000000000003e-05,0.0,0.0,1.0,1.0
36,87.33333333333334,0.079,0.00126,0.0161,0.0595,1.14,0.8290000000000001,0.324,7.22e-14,2.75e-05,0.0,0.0,1.0,1.0
37,117.99999999999999,0.0634,0.0086,0.0493,0.0618,0.62,0.677,0.0,2.02e-08,0.0,0.0,0.0,1.0,0.0
38,73.33333333333333,0.0875,0.001,0.0708,0.0936,0.769,0.669,0.0,3.06e-06,0.0,0.0,0.0,1.0,0.0
39,16.366666666666667,0.0973,0.006509999999999999,0.0293,0.0447,1.03,0.057,0.0,5.88e-07,0.0,0.0,0.0,1.0,0.0
40,74.66666666666667,0.0829,0.00975,0.0526,0.066,1.45,0.115,0.0,4.8e-07,0.0,0.0,0.0,1.0,0.0
41,98.0,0.0305,0.00557,0.0976,0.0251,0.823,0.833,0.336,2.42e-10,1.27e-06,0.0,0.0,1.0,1.0
42,36.666666666666664,0.0568,0.008579999999999999,0.0103,0.0575,0.731,0.066,0.0,1.71e-06,0.0,0.0,0.0,1.0,0.0
43,74.33333333333333,0.0614,0.00848,0.0463,0.0547,0.977,0.71,0.0,8.61e-09,0.0,0.0,0.0,1.0,0.0
44,83.00000000000001,0.0167,0.00851,0.0995,0.0379,0.851,0.7709999999999999,0.23399999999999999,6.909999999999999e-23,3.12e-05,0.0,0.0,1.0,1.0
45,106.00000000000001,0.0303,0.00433,0.0179,0.0835,1.08,0.10300000000000001,0.0,2.7100000000000003e-07,0.0,0.0,0.0,1.0,0.0
46,44.333333333333336,0.0539,0.0036299999999999995,0.0569,0.0478,1.32,0.73,0.0,8.46e-18,0.0,0.021,1.85e-06,2.0,0.0
47,75.66666666666666,0.0224,0.00698,0.0269,0.0695,0.6809999999999999,0.10300000000000001,0.0,1.43e-07,0.0,0.0,0.0,1.0,0.0
48,39.33333333333333,0.0408,0.0051600000000000005,0.0529,0.0457,0.618,0.73,0.0,5.01e-15,0.0,0.0,0.0,1.0,0.0
49,95.33333333333333,0.0922,0.00541,0.0955,0.059,1.5,0.833,0.304,3.0799999999999997e-24,3.69e-05,0.0,0.0,1.0,1.0
50,57.333333333333336,0.0794,0.00406,0.0513,0.0508,1.45,0.722,0.156,1.01e-16,4.49e-05,0.0,0.0,1.0,1.0
51,59.33333333333333,0.0961,0.00335,0.0709,0.0599,0.539,0.722,0.0,1.3699999999999998e-09,0.0,0.0,0.0,1.0,0.0
52,81.66666666666666,0.0949,0.006679999999999999,0.0969,0.0637,1.37,0.759,0.0,6.97e-08,0.0,0.0,0.0,1.0,0.0
53,87.66666666666666,0.0278,0.00519,0.0644,0.0512,1.04,0.8,0.213,3.38e-23,4.05e-05,0.0,0.0,1.0,1.0
54,117.99999999999999,0.0908,0.0015300000000000001,0.0114,0.0658,0.695,0.8859999999999999,0.349,1.24e-11,2.8600000000000004e-05,0.0,0.0,1.0,1.0
55,12.7,0.0306,0.0049299999999999995,0.041,0.036,0.878,0.632,0.0,1.1299999999999999e-08,0.0,0.0,0.0,1.0,0.0
56,117.33333333333333,0.0708,0.0006320000000000001,0.059,0.0892,0.815,0.861,0.525,1.58e-26,3.2e-05,0.07,1.43e-06,2.0,1.0
57,76.66666666666666,0.0307,0.00173,0.00409,0.0742,1.21,0.669,0.0,5.21e-07,0.0,0.0,0.0,1.0,0.0
58,92.0,0.0834,0.00585,0.0464,0.0397,1.02,0.792,0.287,7.39e-18,2.17e-05,0.0,0.0,1.0,1.0
59,84.99999999999999,0.0495,0.00528,0.0026100000000000003,0.0284,0.57,0.496,0.295,5.61e-09,4.84e-06,0.0,0.0,1.0,1.0
60,39.666666666666664,0.0627,0.0033399999999999997,0.0336,0.0398,1.4,0.7509999999999999,0.172,1.0599999999999999e-15,3.97e-05,0.0,0.0,1.0,1.0
61,107.66666666666666,0.0727,0.00913,0.0962,0.0639,1.47,0.7509999999999999,0.0,2.84e-08,0.0,0.0,0.0,1.0,0.0
62,57.666666666666664,0.016,0.00928,0.0634,0.0278,0.515,0.73,0.217,9.159999999999999e-17,2.23e-05,0.0,0.0,1.0,1.0
63,52.0,0.0514,0.008020000000000001,0.0373,0.0278,1.5,0.718,0.209,7.04e-13,2.22e-05,0.0,0.0,1.0,1.0
64,78.33333333333334,0.0318,0.0015,0.0306,0.0745,1.27,0.7340000000000001,0.0,1.84e-09,0.0,0.0,0.0,1.0,0.0
65,47.33333333333333,0.0574,0.00809,0.0877,0.0539,0.858,0.677,0.0,3.49e-08,0.0,0.0,0.0,1.0,0.0
66,63.33333333333333,0.0964,0.000294,0.0508,0.0477,0.534,0.8740000000000001,0.349,7.59e-09,6.95e-06,0.0,0.0,1.0,1.0
67,88.0,0.0437,0.006790000000000001,0.0519,0.0306,1.24,0.775,0.287,5.3900000000000006e-18,1.01e-05,0.0,0.0,1.0,1.0
68,54.33333333333332,0.093,0.0050100000000000006,0.0413,0.0253,1.43,0.742,0.24600000000000002,4.09e-15,7.16e-06,0.0,0.0,1.0,1.0
69,92.66666666666666,0.0561,0.00193,0.0517,0.0803,0.915,0.8740000000000001,0.0,9.08e-08,0.0,0.0,0.0,1.0,0.0
70,90.66666666666666,0.0241,0.0099,0.009290000000000001,0.065,1.09,0.131,0.0,2.77e-07,0.0,0.0,0.0,1.0,0.0
71,64.33333333333333,0.0268,0.00307,0.0374,0.0305,1.37,0.7829999999999999,0.271,1.7100000000000001e-18,7.32e-06,0.0,0.0,1.0,1.0
72,114.0,0.0663,0.0017800000000000001,0.0718,0.0958,1.03,0.775,0.0,9.38e-07,0.0,0.0,0.0,1.0,0.0
73,109.33333333333333,0.0225,0.00778,0.0397,0.0258,1.34,0.775,0.32799999999999996,4.79e-15,2.39e-06,0.0,0.0,1.0,1.0
74,14.2,0.0776,0.0038200000000000005,0.0963,0.0315,1.38,0.705,0.0,8.2e-20,0.0,0.0,0.0,1.0,0.0
75,82.0,0.0272,0.00999,0.0392,0.042,0.586,0.7340000000000001,0.16399999999999998,2.06e-12,4.44e-05,0.0,0.0,1.0,1.0
76,68.33333333333333,0.0573,0.00533,0.0785,0.0693,1.36,0.08199999999999999,0.0,1.01e-06,0.0,0.0,0.0,1.0,0.0
77,62.99999999999999,0.037,0.00923,0.0108,0.0715,1.22,0.057,0.0,1.27e-06,0.0,0.0,0.0,1.0,0.0
78,71.0,0.0405,0.0028899999999999998,0.0956,0.0351,1.05,0.8240000000000001,0.299,2.86e-37,1.0199999999999999e-05,0.0,0.0,1.0,1.0
79,52.33333333333333,0.0328,0.00121,0.0793,0.0504,0.602,0.853,0.275,4.82e-38,2.9100000000000003e-05,0.0,0.0,1.0,1.0
80,114.66666666666667,0.0828,0.007690000000000001,0.0632,0.089,0.802,0.07400000000000001,0.0,1.92e-06,0.0,0.0,0.0,1.0,0.0
81,110.66666666666666,0.0603,0.0034,0.0223,0.0455,0.659,0.82,0.32799999999999996,1.2e-15,1.7e-05,0.0,0.0,1.0,1.0
82,16.433333333333334,0.0517,0.0043100000000000005,0.0822,0.0289,0.6779999999999999,0.705,0.0,1.38e-19,0.0,0.0,0.0,1.0,0.0
83,64.33333333333333,0.0247,0.00773,0.0211,0.0553,1.3,0.652,0.0,2.06e-08,0.0,0.0,0.0,1.0,0.0
84,92.66666666666666,0.0394,0.00436,0.0566,0.0657,1.37,0.6559999999999999,0.0,5.86e-08,0.0,0.0,0.0,1.0,0.0
85,75.66666666666666,0.0958,0.00229,0.00599,0.0713,0.682,0.7140000000000001,0.0,3.5799999999999995e-07,0.0,0.0,0.0,1.0,0.0
86,105.66666666666667,0.0677,0.0051,0.0372,0.0318,0.7859999999999999,0.8079999999999999,0.332,3.81e-17,5.1e-06,0.0,0.0,1.0,1.0
87,56.66666666666666,0.0934,0.00448,0.038,0.0372,0.72,0.767,0.23399999999999999,1.71e-16,2.75e-05,0.0,0.0,1.0,1.0
88,24.833333333333332,0.0174,0.00399,0.0114,0.0262,0.747,0.525,0.152,1.5800000000000002e-10,2.97e-05,0.0,0.0,1.0,1.0
89,98.33333333333334,0.0446,0.0042899999999999995,0.0498,0.0783,0.915,0.6559999999999999,0.0,1.73e-07,0.0,0.0,0.0,1.0,0.0
90,105.0,0.0553,0.00475,0.0768,0.0401,1.36,0.833,0.353,7.97e-27,1.3800000000000002e-05,0.0,0.0,1.0,1.0
91,35.0,0.0613,0.0058,0.0814,0.0562,0.525,0.07,0.0,1.07e-06,0.0,0.0,0.0,1.0,0.0
92,70.66666666666667,0.0615,0.009470000000000001,0.065,0.0286,1.49,0.7509999999999999,0.25,2.84e-16,1.6800000000000002e-05,0.0,0.0,1.0,1.0
93,102.33333333333333,0.0458,0.0020800000000000003,0.0124,0.0601,0.679,0.8370000000000001,0.299,6.2599999999999996e-12,3.229999999999999e-05,0.0,0.0,1.0,1.0
94,111.33333333333333,0.087,0.000368,0.077,0.0737,0.547,0.894,0.669,6.4e-45,1.3000000000000001e-05,0.016,3.29e-06,2.0,1.0
95,81.33333333333333,0.0858,0.0024,0.0284,0.0436,0.836,0.8240000000000001,0.308,1.78e-18,1.6800000000000002e-05,0.0,0.0,1.0,1.0
96,32.03333333333333,0.0262,0.00358,0.0111,0.0536,0.6859999999999999,0.07400000000000001,0.0,3.07e-07,0.0,0.0,0.0,1.0,0.0
97,107.0,0.0337,0.00373,0.0889,0.0748,0.53,0.763,0.0,1.1499999999999999e-08,0.0,0.0,0.0,1.0,0.0
98,101.33333333333334,0.0932,0.00352,0.00434,0.0568,0.905,0.738,0.258,1.62e-08,3.69e-05,0.0,0.0,1.0,1.0
99,74.66666666666667,0.0673,0.00247,0.0178,0.0468,1.2,0.8,0.271,4.3e-14,2.5300000000000002e-05,0.0,0.0,1.0,1.0
100,62.666666666666664,0.0895,0.00625,0.0936,0.0533,1.46,0.701,0.0,1.88e-10,0.0,0.0,0.0,1.0,0.0
101,99.66666666666667,0.0395,0.00365,0.0156,0.0533,0.514,0.7959999999999999,0.267,3.2900000000000003e-12,3.3600000000000004e-05,0.0,0.0,1.0,1.0
102,15.6,0.0988,0.0031100000000000004,0.0902,0.0422,0.898,0.685,0.0,1.1e-07,0.0,0.0,0.0,1.0,0.0
103,93.66666666666666,0.0356,0.00471,0.0289,0.0587,0.9179999999999999,0.73,0.016,3.11e-13,4.8100000000000004e-05,0.0,0.0,1.0,1.0
104,16.06666666666667,0.0985,0.00611,0.019,0.0357,0.552,0.644,0.0,6.580000000000001e-08,0.0,0.0,0.0,1.0,0.0
105,24.300000000000004,0.0397,0.00619,0.0421,0.053,0.727,0.053,0.0,5.34e-07,0.0,0.0,0.0,1.0,0.0
106,116.0,0.0901,0.00122,0.0036,0.0259,1.16,0.615,0.455,4.6399999999999995e-10,2.04e-08,0.0,0.0,1.0,1.0
107,78.33333333333334,0.0993,0.006790000000000001,0.064,0.0697,1.44,0.6729999999999999,0.0,2.74e-07,0.0,0.0,0.0,1.0,0.0
108,97.33333333333333,0.0361,0.0033,0.0375,0.0521,0.705,0.8240000000000001,0.287,3.35e-19,2.97e-05,0.0,0.0,1.0,1.0
109,38.33333333333333,0.0511,0.00864,0.0045899999999999995,0.0293,1.15,0.435,0.14800000000000002,1.04e-07,4.05e-05,0.0,0.0,1.0,1.0
110,28.2,0.015,0.00285,0.0643,0.0512,0.7120000000000001,0.71,0.0,2.1100000000000003e-11,0.0,0.0,0.0,1.0,0.0
111,90.33333333333333,0.0142,0.00924,0.00847,0.026,1.45,0.5870000000000001,0.287,2.7699999999999997e-10,6.41e-06,0.0,0.0,1.0,1.0
112,106.33333333333333,0.0479,0.00812,0.0614,0.0332,1.06,0.7829999999999999,0.304,6.66e-19,1.26e-05,0.0,0.0,1.0,1.0
113,31.366666666666664,0.0939,0.0022199999999999998,0.032,0.0325,0.58,0.7509999999999999,0.193,5.11e-18,2.46e-05,0.0,0.0,1.0,1.0
114,24.46666666666667,0.0992,0.00542,0.0743,0.0293,0.8640000000000001,0.718,0.135,3.63e-18,4.11e-05,0.0,0.0,1.0,1.0
115,94.66666666666666,0.0484,0.0036,0.0159,0.0342,0.645,0.792,0.32,2.46e-13,6.77e-06,0.0,0.0,1.0,1.0
116,112.66666666666666,0.0655,0.0030800000000000003,0.0598,0.0555,0.72,0.8859999999999999,0.353,5.79e-27,2.47e-05,0.0,0.0,1.0,1.0
117,58.666666666666664,0.0527,0.00811,0.00838,0.0329,1.45,0.632,0.19699999999999998,9.81e-09,3.2200000000000003e-05,0.0,0.0,1.0,1.0
118,81.33333333333333,0.0214,0.0083,0.0424,0.0746,0.657,0.086,0.0,2.16e-07,0.0,0.0,0.0,1.0,0.0
119,104.33333333333331,0.0415,0.0046700000000000005,0.0523,0.076,1.14,0.722,0.0,2.4700000000000003e-08,0.0,0.0,0.0,1.0,0.0
120,108.99999999999999,0.0474,0.00962,0.0487,0.0687,1.02,0.693,0.0,1.65e-08,0.0,0.0,0.0,1.0,0.0
121,103.33333333333333,0.0814,0.00335,0.0721,0.0391,0.845,0.861,0.369,6.25e-29,8.74e-06,0.0,0.0,1.0,1.0
122,99.0,0.0271,0.00892,0.0552,0.0623,1.42,0.718,0.0,1.18e-11,0.0,0.0,0.0,1.0,0.0
123,83.00000000000001,0.0146,0.0014,0.0774,0.0506,0.79,0.8859999999999999,0.324,2.7499999999999996e-48,1.85e-05,0.0,0.0,1.0,1.0
124,95.33333333333333,0.0748,0.00161,0.0411,0.0418,0.5710000000000001,0.878,0.373,8.49e-23,6.54e-06,0.0,0.0,1.0,1.0
125,116.33333333333334,0.07,0.009770000000000001,0.0215,0.0881,0.545,0.098,0.0,7.02e-07,0.0,0.0,0.0,1.0,0.0
127,119.33333333333334,0.0818,0.00514,0.0604,0.0628,0.782,0.816,0.287,1.93e-20,3.8799999999999994e-05,0.0,0.0,1.0,1.0
128,87.0,0.0775,0.00658,0.0514,0.0633,0.6709999999999999,0.742,0.0,5.79e-08,0.0,0.0,0.0,1.0,0.0
129,46.33333333333333,0.0355,0.00707,0.0195,0.0557,0.545,0.098,0.0,1.83e-07,0.0,0.0,0.0,1.0,0.0
130,96.0,0.0973,0.0035,0.0962,0.0691,0.992,0.742,0.32,4.27e-09,3.9899999999999994e-05,0.0,0.0,1.0,1.0
131,99.33333333333333,0.0497,0.00863,0.00805,0.0602,0.684,0.365,0.0,1.7899999999999997e-07,0.0,0.0,0.0,1.0,0.0
132,55.0,0.0383,0.007640000000000001,0.0606,0.0308,1.33,0.7340000000000001,0.209,3.4e-16,2.7000000000000002e-05,0.0,0.0,1.0,1.0
133,73.33333333333333,0.0529,0.00196,0.0088,0.0652,1.32,0.767,0.0,7.45e-12,0.0,0.0,0.0,1.0,0.0
134,113.0,0.0767,0.00665,0.0783,0.0353,0.643,0.8240000000000001,0.34,4.23e-24,1.07e-05,0.0,0.0,1.0,1.0
135,106.66666666666667,0.0136,0.0031899999999999997,0.0458,0.0692,0.789,0.755,0.0,5.2400000000000005e-17,0.0,0.0,0.0,1.0,0.0
136,21.4,0.0699,0.00865,0.0283,0.039,1.33,0.628,0.0,5.6e-08,0.0,0.0,0.0,1.0,0.0
137,60.666666666666664,0.0502,0.00298,0.0279,0.0805,1.03,0.053,0.0,1.01e-06,0.0,0.0,0.0,1.0,0.0
138,69.0,0.0725,0.006670000000000001,0.0985,0.0423,0.818,0.7879999999999999,0.23,2.5499999999999998e-24,3.6099999999999997e-05,0.0,0.0,1.0,1.0
139,116.0,0.0815,0.00867,0.0854,0.0405,1.4,0.792,0.312,5.5799999999999996e-21,2.26e-05,0.0,0.0,1.0,1.0
140,43.66666666666667,0.0668,0.000492,0.0929,0.044,1.35,0.841,0.316,6.049999999999999e-53,1.21e-05,0.0,0.0,1.0,1.0
141,61.666666666666664,0.0313,0.007890000000000001,0.0146,0.0538,1.3,0.632,0.0,7.110000000000001e-08,0.0,0.0,0.0,1.0,0.0
142,116.66666666666666,0.0348,0.000962,0.0761,0.0343,1.45,0.504,0.435,9.89e-10,3.93e-07,0.349,9.41e-10,2.0,1.0
143,69.66666666666666,0.0108,0.00432,0.0875,0.0339,0.523,0.792,0.258,1.22e-31,1.57e-05,0.0,0.0,1.0,1.0
144,96.0,0.0866,0.00349,0.0635,0.0641,0.743,0.779,0.295,1.82e-18,3.929999999999999e-05,0.0,0.0,1.0,1.0
145,97.66666666666667,0.0545,0.005679999999999999,0.0974,0.0475,1.06,0.816,0.29100000000000004,2.31e-28,2.97e-05,0.0,0.0,1.0,1.0
146,111.66666666666667,0.0656,0.00344,0.0287,0.0859,1.49,0.10300000000000001,0.0,5.27e-07,0.0,0.0,0.0,1.0,0.0
