,Planet_Mass,Epsilon,Alpha,Stokes,Aspect_Ratio,SigmaSlope,Dust_gap_1,Dust_gap_2
677,96.66666666666669,0.0709,0.00304,0.0339,0.073,0.6409999999999999,0.6809999999999999,0.016
504,113.66666666666666,0.0732,0.00222,0.0189,0.0264,1.43,0.418,0.332
648,104.0,0.0883,0.0058,0.061,0.0393,0.507,0.812,0.0
237,51.66666666666666,0.0931,0.00647,0.0781,0.026000000000000002,0.5,0.755,0.0
596,68.66666666666666,0.0462,0.00282,0.00195,0.0486,0.78,0.599,0.0
280,66.99999999999999,0.04,0.0008960000000000002,0.0863,0.0667,1.0,0.911,0.0
252,79.99999999999999,0.0916,0.00673,0.0892,0.0353,0.5489999999999999,0.792,0.0
624,69.0,0.0955,0.000277,0.00855,0.063,1.32,0.865,0.0
316,62.00000000000001,0.0257,0.00708,0.059000000000000004,0.0446,1.37,0.742,0.0
400,48.66666666666666,0.0569,0.00364,0.0568,0.0437,1.3,0.779,0.0
519,90.66666666666666,0.083,0.007859999999999999,0.0376,0.0667,0.568,0.6970000000000001,0.0
571,35.333333333333336,0.0244,0.00987,0.0911,0.033,0.978,0.705,0.0
729,46.66666666666666,0.0796,0.00731,0.075,0.0404,0.935,0.7340000000000001,0.0
364,115.33333333333331,0.073,0.00895,0.0901,0.0427,1.17,0.7959999999999999,0.0
113,31.366666666666664,0.0939,0.00222,0.032,0.0325,0.58,0.7509999999999999,0.0
414,72.99999999999999,0.0211,0.00884,0.0182,0.0613,0.884,0.123,0.0
253,107.0,0.0214,0.00807,0.069,0.0572,1.02,0.767,0.0
351,60.0,0.0283,0.00463,0.0958,0.0664,0.833,0.066,0.0
642,51.66666666666666,0.0169,0.007559999999999998,0.0462,0.0429,0.597,0.722,0.0
18,64.66666666666667,0.0826,0.004520000000000001,0.0727,0.0511,0.603,0.7959999999999999,0.0
197,29.6,0.0531,0.00302,0.0621,0.035,0.66,0.7509999999999999,0.0
426,115.0,0.0736,0.00119,0.0959,0.0935,1.34,0.993,0.0
575,115.0,0.0571,0.00112,0.0371,0.0853,1.21,0.82,0.0
294,66.33333333333334,0.0358,0.00283,0.0288,0.07,1.44,0.6559999999999999,0.0
579,16.9,0.0803,0.0056,0.0571,0.0402,0.795,0.652,0.0
370,87.66666666666666,0.0886,0.00585,0.0128,0.0377,1.19,0.742,0.0
50,57.33333333333334,0.0794,0.00406,0.0513,0.0508,1.45,0.722,0.0
272,83.33333333333333,0.0907,0.00742,0.0319,0.0707,0.745,0.119,0.0
756,96.0,0.0231,0.00543,0.0894,0.0645,0.555,0.701,0.0
765,108.0,0.0361,0.00378,0.0609,0.0625,1.07,0.726,0.0
715,103.33333333333331,0.0289,0.00135,0.0189,0.040999999999999995,1.28,0.857,0.0
416,94.66666666666666,0.0855,0.00036,0.022000000000000002,0.0703,1.01,0.972,0.0
39,16.366666666666667,0.0973,0.006509999999999999,0.0293,0.0447,1.03,0.057,0.0
143,69.66666666666666,0.0108,0.00432,0.0875,0.0339,0.523,0.792,0.0
173,65.66666666666666,0.0208,0.006229999999999999,0.0711,0.063,0.7290000000000001,0.6559999999999999,0.0
456,110.0,0.0682,0.00149,0.0897,0.0403,0.593,0.923,0.0
744,105.0,0.071,0.00958,0.042,0.0625,0.887,0.7140000000000001,0.0
10,119.0,0.025,0.00213,0.0777,0.0298,0.99,0.5539999999999999,0.394
588,115.33333333333331,0.0594,0.00785,0.0445,0.0748,1.47,0.64,0.0
68,54.33333333333332,0.09300000000000001,0.0050100000000000006,0.0413,0.0253,1.43,0.742,0.0
215,80.33333333333333,0.0556,0.00504,0.0755,0.0373,0.7240000000000001,0.804,0.0
365,39.66666666666666,0.025,0.00251,0.0486,0.0466,0.59,0.775,0.0
243,81.0,0.061,0.00273,0.0391,0.0648,1.04,0.804,0.0
691,76.66666666666666,0.0898,0.0044,0.0133,0.0273,1.02,0.66,0.0
328,39.33333333333333,0.0247,0.000459,0.00954,0.0738,0.8959999999999999,0.755,0.0
473,64.0,0.0702,0.00379,0.0557,0.078,0.608,0.053,0.0
2,16.633333333333333,0.0691,0.00989,0.042,0.0392,0.5379999999999999,0.07400000000000001,0.0
780,44.33333333333334,0.0766,0.000203,0.0591,0.0557,0.925,0.882,0.0
629,71.33333333333334,0.0572,0.0061600000000000005,0.0829,0.0399,0.967,0.7879999999999999,0.0
231,37.333333333333336,0.057999999999999996,0.000665,0.0694,0.0694,1.43,0.812,0.0
203,54.66666666666666,0.079,0.00602,0.0286,0.0592,1.39,0.648,0.0
475,34.0,0.0801,0.00854,0.00673,0.0389,0.616,0.64,0.0
449,55.99999999999999,0.0943,0.00109,0.0689,0.046,0.95,0.841,0.0
584,115.66666666666669,0.0162,0.00439,0.0369,0.0931,1.06,0.057,0.0
259,57.0,0.0331,0.00359,0.0612,0.0442,0.561,0.792,0.0
262,72.0,0.0832,0.00244,0.0139,0.049,1.31,0.7959999999999999,0.0
779,59.66666666666667,0.0484,0.00953,0.0302,0.0532,0.575,0.6729999999999999,0.0
375,106.66666666666669,0.0722,0.00964,0.015,0.028999999999999998,1.38,0.726,0.0
390,113.33333333333331,0.0134,0.0075200000000000015,0.0662,0.0764,1.26,0.098,0.0
250,55.99999999999999,0.0398,0.000599,0.0531,0.0382,0.872,0.8490000000000001,0.0
713,89.66666666666666,0.0777,0.00985,0.0368,0.0805,1.34,0.078,0.0
201,96.0,0.0585,0.0079,0.0167,0.0265,0.97,0.742,0.0
244,33.666666666666664,0.0619,0.000335,0.0278,0.0737,0.965,0.804,0.0
581,72.66666666666667,0.0243,0.0063100000000000005,0.0772,0.0603,1.36,0.726,0.0
338,74.33333333333333,0.053,0.00963,0.0873,0.032,1.19,0.759,0.0
71,64.33333333333333,0.0268,0.00307,0.0374,0.0305,1.37,0.7829999999999999,0.0
49,95.33333333333331,0.0922,0.00541,0.0955,0.059000000000000004,1.5,0.833,0.0
425,79.99999999999999,0.0154,0.00807,0.0434,0.0317,0.911,0.7509999999999999,0.0
211,81.0,0.0391,0.00299,0.0137,0.0938,0.6609999999999999,0.057,0.0
116,112.66666666666666,0.0655,0.0030800000000000003,0.0598,0.0555,0.72,0.8859999999999999,0.0
37,118.0,0.0634,0.0086,0.0493,0.0618,0.62,0.677,0.0
407,84.0,0.0823,0.006529999999999999,0.0022,0.0405,0.546,0.619,0.0
48,39.33333333333333,0.0408,0.0051600000000000005,0.0529,0.0457,0.618,0.73,0.0
636,32.4,0.0157,0.0017,0.0472,0.0348,1.48,0.767,0.0
320,104.33333333333331,0.08800000000000001,0.00088,0.0625,0.0463,1.49,0.931,0.0
295,53.33333333333334,0.08199999999999999,0.0077,0.0562,0.0515,0.962,0.705,0.0
242,99.66666666666669,0.0716,0.00821,0.035,0.0862,1.4,0.07,0.0
223,46.99999999999999,0.047,0.000195,0.0486,0.0502,0.635,0.8740000000000001,0.0
163,118.33333333333331,0.0265,0.00584,0.054000000000000006,0.0382,1.12,0.8079999999999999,0.0
76,68.33333333333333,0.0573,0.00533,0.0785,0.0693,1.36,0.08199999999999999,0.0
64,78.33333333333334,0.0318,0.0015,0.0306,0.0745,1.27,0.7340000000000001,0.0
626,84.33333333333331,0.0521,0.00908,0.0931,0.0584,1.25,0.718,0.0
52,81.66666666666666,0.0949,0.006679999999999999,0.0969,0.0637,1.37,0.759,0.0
493,38.33333333333333,0.0213,0.00662,0.0032700000000000003,0.0473,0.934,0.098,0.0
601,87.66666666666666,0.0367,0.006540000000000001,0.00294,0.0263,0.848,0.476,0.0
433,85.33333333333333,0.0779,0.00427,0.0197,0.0945,1.04,0.053,0.0
521,29.5,0.0478,0.00934,0.0331,0.0443,0.675,0.41,0.0
568,44.66666666666666,0.0773,0.0048,0.0241,0.0522,0.8190000000000001,0.6970000000000001,0.0
778,70.66666666666667,0.0544,0.000913,0.0647,0.0274,0.594,0.476,0.324
403,102.66666666666669,0.0198,0.00852,0.0944,0.0709,0.623,0.115,0.0
755,88.99999999999999,0.0979,0.00262,0.0123,0.0328,0.8340000000000001,0.7879999999999999,0.0
684,92.33333333333331,0.0969,0.0027,0.0975,0.0474,1.23,0.878,0.0
118,81.33333333333333,0.0214,0.0083,0.0424,0.0746,0.657,0.086,0.0
